Edesa/Otros	Cafayate	Capital	Güemes	J V González	La Candelaria	Metán	Orán	S A Cobres	S Aislados	Tartagal	Valle de Lerma	Total	
12/2004	 -   	 -   	 -   	 -   	 0.260 	 -   	 -   	 -   	 -   	 -   	 -   	 0.260 
01/2005	 -   	 -   	 -   	 -   	 0.298 	 -   	 -   	 -   	 -   	 -   	 -   	 0.298 
02/2005	 -   	 -   	 -   	 -   	 0.274 	 -   	 -   	 -   	 -   	 -   	 -   	 0.274 
03/2005	 -   	 -   	 -   	 -   	 0.301 	 -   	 -   	 -   	 -   	 -   	 -   	 0.301 
04/2005	 -   	 -   	 -   	 -   	 0.264 	 -   	 -   	 -   	 -   	 -   	 -   	 0.264 			
05/2005	 -   	 -   	 -   	 -   	 0.254 	 -   	 -   	 -   	 -   	 -   	 -   	 0.254 			
06/2005	 -   	 -   	 -   	 -   	 0.268 	 -   	 0.263 	 -   	 -   	 -   	 -   	 0.531 			
07/2005	 -   	 -   	 -   	 -   	 0.275 	 -   	 0.014 	 -   	 -   	 -   	 -   	 0.290 			
08/2005	 -   	 -   	 -   	 -   	 0.264 	 -   	 0.185 	 -   	 -   	 -   	 -   	 0.449 			
09/2005	 -   	 -   	 -   	 -   	 0.251 	 -   	 0.589 	 -   	 -   	 -   	 -   	 0.839 			
10/2005	 -   	 -   	 -   	 -   	 0.263 	 -   	 0.043 	 -   	 -   	 -   	 -   	 0.306 			
11/2005	 -   	 -   	 -   	 -   	 0.262 	 -   	 -   	 -   	 -   	 -   	 -   	 0.262 			
12/2005	 -   	 -   	 -   	 -   	 0.282 	 -   	 -   	 -   	 -   	 -   	 -   	 0.282 			
01/2006	 -   	 -   	 -   	 -   	 0.315 	 -   	 -   	 -   	 -   	 -   	 -   	 0.315 			
02/2006	 -   	 -   	 -   	 -   	 0.287 	 -   	 -   	 -   	 -   	 -   	 -   	 0.287 			
03/2006	 -   	 -   	 -   	 -   	 0.323 	 -   	 -   	 -   	 -   	 -   	 -   	 0.323 			
04/2006	 -   	 -   	 -   	 -   	 0.288 	 -   	 -   	 -   	 -   	 -   	 -   	 0.288 			
05/2006	 -   	 -   	 -   	 -   	 0.280 	 -   	 -   	 -   	 -   	 -   	 -   	 0.280 			
06/2006	 -   	 -   	 -   	 -   	 0.280 	 -   	 0.085 	 -   	 -   	 -   	 -   	 0.364 			
07/2006	 -   	 -   	 -   	 -   	 0.282 	 -   	 0.643 	 -   	 -   	 -   	 -   	 0.924 			
08/2006	 -   	 -   	 -   	 -   	 0.287 	 -   	 0.495 	 -   	 -   	 -   	 -   	 0.782 			
09/2006	 -   	 -   	 -   	 -   	 0.273 	 -   	 0.540 	 -   	 -   	 -   	 -   	 0.813 			
10/2006	 -   	 -   	 -   	 -   	 0.293 	 -   	 0.014 	 -   	 -   	 -   	 -   	 0.308 			
11/2006	 -   	 -   	 -   	 -   	 0.284 	 -   	 -   	 -   	 -   	 -   	 -   	 0.284 			
12/2006	 -   	 -   	 -   	 -   	 0.308 	 -   	 -   	 -   	 -   	 -   	 -   	 0.308 			
01/2007	 -   	 -   	 -   	 -   	 0.351 	 -   	 -   	 -   	 -   	 -   	 -   	 0.351 			
02/2007	 -   	 -   	 -   	 -   	 0.359 	 -   	 -   	 -   	 -   	 -   	 -   	 0.359 			
03/2007	 -   	 -   	 -   	 -   	 0.394 	 -   	 -   	 -   	 -   	 -   	 -   	 0.394 			
04/2007	 -   	 -   	 -   	 -   	 0.319 	 -   	 -   	 -   	 -   	 -   	 -   	 0.319 			
05/2007	 -   	 -   	 -   	 -   	 0.319 	 -   	 0.054 	 -   	 -   	 -   	 -   	 0.373 			
06/2007	 -   	 -   	 -   	 -   	 0.316 	 -   	 0.290 	 -   	 -   	 -   	 -   	 0.606 			
